groupID,subjectID,Type,trialID,P,T_ms,W_ms,Label,Press,Correct,RT_ms,condition_label
1,10,empirical,152,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,154,0,30,300,self,1,0,232.933400024194,"P=0,T=30,W=300"
1,10,empirical,155,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,157,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,160,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,162,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,163,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,166,0,30,300,stranger,1,1,233.058499987237,"P=0,T=30,W=300"
1,10,empirical,168,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,169,0,30,300,self,1,0,274.587000021711,"P=0,T=30,W=300"
1,10,empirical,170,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,174,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,175,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,178,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,179,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,183,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
